(-2.6036369192996602, 4.683054881185537)
(-2.4216689231962523, 2.755886906952321)
(0.9109773202625018, 5.1899051395433435)
(0.5642560468316598, 3.1383610982065866)
(-0.571314905297506, 0.3250022967186841)
(2.5028834726757374, 8.466138484287658)
(0.4183226598914134, 1.5288199813386647)
(-1.2222579332559418, 2.476104171567983)
(1.021994490931923, 2.4979338281303756)
(-0.33053491027893944, 0.6118425267495875)
(2.37944623906193, 8.41695456928119)
(-0.4174679478762555, 1.5433978953996759)
(0.9385602260209289, 4.599560995165927)
(-1.1638756179914809, 2.5610524398096803)
(-0.022640879235079847, 1.1708914127945125)
(0.5132467284616888, 1.9981468584583746)
(0.8635719390002059, 4.5435773996268365)
(2.0251086607407025, 7.414091083667779)
(1.8268518778456944, 6.520380556851279)
(0.0830088014553958, 2.218118888053407)
(2.542197346650255, 7.202447531771537)
(-1.0137429016655464, 1.954101115816003)
(-1.7455919352613, 2.065174730478119)
(2.7434722232101887, 9.864983632106949)
(2.6509211230821066, 5.527508278381728)
(-2.055662128128584, 2.2324204678114037)
(-2.3114062505967006, 3.201870201101038)
(-1.9100891674053915, 1.9705426158068575)
(1.78228222970169, 4.265134633524779)
(0.08345796099165792, 2.424126122717688)
(-1.1934049458408906, 1.743205338983385)
(1.018428228424428, 4.801932492028978)
(-0.9865594119830092, 2.3234651289669235)
(-0.8321254162894007, 0.0363376742020769)
(-0.24782284805417376, 1.3475024321371754)
(1.790341547763938, 6.652249400408275)
(0.8778941664222462, 2.2915120599395595)
(2.3395815305254173, 7.581760639850568)
(1.505719200280689, 5.581143355409747)
(1.1077005686362495, 2.86395310457966)
(-1.7849005622408252, 1.4887972917286214)
(1.9710148941914012, 7.016241452270631)
(-1.650447951872341, 0.2544471762491074)
(-2.9115262567874813, 2.554759135468288)
(-1.333070941312269, -1.9274284751907107)
(2.548075274180335, 7.697375525839373)
(1.4282088581525745, 3.857953314018387)
(2.48738925270246, 8.821870334620945)
(0.22619867389276394, 1.404488829071251)
(-0.34440278866789864, 2.0230703509775916)
(-2.713010079591124, 3.097594347361988)
(0.2570212230179014, 1.9224318237257083)
(-0.9121764848800131, 0.5768358975752051)
(2.674086790548486, 9.344928284522169)
(1.8764947268028926, 5.1120608997207215)
(0.21482189327486267, 0.8605354737028528)
(2.245191779175583, 5.770484918347849)
(-1.8892567516036403, -0.42586254701803594)
(-1.0024538758576267, 2.995999323166531)
(-2.958334364578901, 2.5084172194824177)
(0.9853926657735403, 4.291071421127841)
(1.9673130192742532, 5.52832586539777)
(1.8239869196143994, 5.056820485998989)
(-0.6237384102015211, 3.2142624822891355)
(-2.6626590778160644, 2.627670431208401)
(-2.6803982740884655, 2.6494478623719457)
(-1.6285360489941123, 2.060905000326356)
(0.5723771059217944, 2.809382757636578)
(-0.7872827563686791, 2.979164886520102)
(2.2615729032169654, 6.2594511713318814)
(1.6729696090616386, 4.474600167559101)
(2.625864268180419, 8.795650467941288)
(2.0626034844865977, 6.565530563144558)
(-0.6189298714250606, 2.368028226063033)
(2.852820171850402, 8.22516818974168)
(2.3571816568670805, 4.5029715247089115)
(-0.5314711286407041, 1.5000161969905865)
(0.0398979737240972, 1.1701955516830411)
(-2.844485097138994, 2.4985452325350224)
(-1.33553227315166, 0.51945689125909)
(-2.907926362871856, 3.5664398777472286)
(-0.19098490310278793, 1.8774473518852541)
(1.656599443856292, 5.014911523219863)
(-2.1303150904803045, 4.354408383152291)
(-1.0667052345119656, 2.1891849948790094)
(-0.9013661844487917, 2.473750173143703)
(2.8925796082715403, 9.689911877113452)
(-1.0050487243693431, 1.263481041790783)
(-0.24559223249472417, 2.26012026317491)
(0.15070842942106255, 1.982632236504421)
(-2.1445263990278347, 5.447725001293351)
(0.9974271122826766, 3.070389267070616)
(1.9928583792267194, 6.1924408085248865)
(2.578028583354973, 9.705369876844152)
(1.8639381074911716, 5.162092648161742)
(-2.1648199641168056, 2.4329263967944605)
